Text,Language
"Kenyatta Lapoleon Jones(January 18, 1979 - June 9, 2018) aarĩ mũthaki wa mũbira ya nũndano wa Amerika.",Kikuyu
riika rũrũ no warie (length) ndĩrĩ wandandũku kana ũnoru.,Kikuyu
Ciandarũa no ithondekwo na rangi o wothe kũhũthĩrĩa theũruma ngũrani.,Kikuyu
"Sharif, Aidara akiraramika guthii thii kwe monabii Mohammad.",Kikuyu
"[[Faili:Yvonne_Ntombizodwa_Chaka_Chaka_-_World_Economic_Forum_Annual_Meeting_2012.jpg|thumb|Yvonne Chaka Chaka arĩIstanbul, 2012.]]",Kikuyu
Vigolzonecity irĩa nene yaItaly.,Kikuyu
[1]Black Panthernĩ yaambĩirwo kuo matukũ matano mbere yaAvengers: Infinity Warkũambĩrwo mũthenya wa 26 mweri wa gatano.,Kikuyu
Pingliangcity irĩa nene yaChina.,Kikuyu
City ya Yan'an irĩ igũrũ mũno ta 975 m.,Kikuyu
Ngerenwanĩ njĩra ĩrĩa andũ marutagĩra ũhoro na njĩra ya mũgambo.,Kikuyu
Rũrĩrĩ rwa Gĩkũyũ nirurathimĩirwo gũkorwo na ceceni karundo ikimemerekia na rũthiomi rwao.,Kikuyu
Na njĩra nguhĩ nĩ maumĩrĩra ma wĩra wakĩbindo.,Kikuyu
Ng’ano nocio ciatũmĩkaga gũthomithia ciana ũgi wa mũtũrĩre na mĩtugo ĩrĩa ĩkenagia andũ.,Kikuyu
City ya Guilin irĩ igũrũ mũno ta 153 m.,Kikuyu
Green herb like njegeni but edible.,Kikuyu
Rĩaambĩrĩirie kũrutwo rũraya nĩmũrigitanina mũrutani wa maũndũ mambũgĩJohn Bowlby (1907-90).,Kikuyu
"Kaingĩ nĩ mĩthangiri ya nyamũ ta ngiri, nguũ, onanjogu.",Kikuyu
Thinema-ici nĩcio ituĩkĩte cia kũgucĩrĩria ciana mũno tondũ ithondeketwo ci cĩa kũgucĩrĩria ciana.,Kikuyu
"Thutha wa kahinda kanini, arĩ na mĩaka ĩnana, nĩ aanyitanire na ariũ a nyina kĩrathi-inĩ kĩa Ihithe[6]",Kikuyu
Thĩ  [ĩrĩa ĩtagwo'ala'kana'ụwa'na rũthiomi rwaIgbona igwetwo'ensi'na rũthiomi rwaRũganda]ĩkoragwo na icigo cia mbara nyũmũ  na nĩcio:,Kikuyu
"Kĩrathi kĩa nobero, Ngűthuguthia na guthima kwotamu thithitemu nyene, Royal swedish Academy of sciences 2012.",Kikuyu
Ona mĩgithi nĩkuaogwo nĩ kamagĩra cia mwanya.,Kikuyu
Mbogo(گاومیش na rũthiomi rwaIrani),Kikuyu
Shengzhoucity irĩa nene yaChina.,Kikuyu
Ũyũ nĩ ũndũ ũtarĩ wa thuthurio nĩ ndamathia ya Kenya ginya mwaka 2011.,Kikuyu
ũratuthũkire thutha wa mbica ciraonanagia mũndũ mũirũ akĩhihinywo ngingo na mũthigari kũrungũka nenda-inĩ.,Kikuyu
City ya Dashiqiao irĩ igũrũ mũno ta 45 m.,Kikuyu
kĩhooto kĩa mũngiki(mob justice) nĩ kĩururĩrio nĩ athuthuria mabũrũri-inĩ taKenyanaGhana,Kikuyu
Yinchuancity irĩa nene yaChina.,Kikuyu
"- **Johnny Nasser** ta Mazen, mwoho mũkarĩ",Kikuyu
City ya Chiroqchi irĩ igũrũ mũno ta 513 m.,Kikuyu
"Mwaka wa 2003, nĩ we warĩ mũhariri wa mbere wa 'Kwani?'",Kikuyu
na rĩtwa rĩngĩ nĩ hakiri (kuumaGĩthweri'akili').,Kikuyu
Hengyangcity irĩa nene yaChina.,Kikuyu
"Ũrigitani: ndagĩtarĩ,Saikayatĩrĩ,Neurologist",Kikuyu
Ng’ano ciaganagwo hĩndĩ ya hwainĩ rĩrĩa andũ maranyihia hwai.,Kikuyu
Los Angelescity irĩa nene yaUSA.,Kikuyu
Nĩ aahengerirwo nĩ New England Patriots kĩharoinĩ gĩa kana kĩa NFL Draft ya mwaka wa 2001.,Kikuyu
Alhaji Muniru Mohammed Limuna – mũnini wa ũrũmbũiya thayũ,Kikuyu
"City ya Yinchuan irĩ igũrũ mũno ta 1,100 m.",Kikuyu
Ciandarũa ĩhũthikaga marungũro-inĩ ma manganda na ma wonjoria ta mĩkawa o hamwe na mĩciĩ.,Kikuyu
oho mũhari no wĩĩcirio ta mũtaro kana njĩra ĩrĩa ĩraringaIca (point)igĩrĩ kana makĩria.,Kikuyu
No mahũthĩre mĩkebe ya ndogo ya maithori kũcerehũra kĩrĩndĩ.,Kikuyu
Ituĩka rĩrĩ rĩcũngĩrĩrwo thutha wa mũtigaire kũmũtũkũiya Ray.,Kikuyu
"SWOT na  Gĩthűgű nĩ Strengths, Weakness, Opportunities and Threats.",Kikuyu
"Gĩcicio, kĩrĩa no kĩtagwo kĩrora(kana 'cilola' na rũthiomi rwaBemba), nĩ kĩndũ kĩrĩa kĩrĩ ũhoti wa gũkongoea mbica.",Kikuyu
araarire mũcumbĩkiro wa mabataro ũũ.,Kikuyu
City ya Rizhao irĩ igũrũ mũno ta 10 m.,Kikuyu
"mabataro ma kũrungo ka mbere nĩ: ũgima wa mwĩrĩ, wĩĩra, ng'ũndũ na wagi wa wagagu itũra-inĩ/ũrangĩri",Kikuyu
City ya Jizzax irĩ igũrũ mũno ta 378 m.,Kikuyu
Tutuni twa Disney films nĩ tumwe twa tũtunĩ tũrĩa tũĩkaine mũno na tũria tuonanagio mũno karabicenĩ-inĩ.,Kikuyu
nĩ kũrĩ na mĩhĩrĩga ya thukuru ici kuma cia kothi cia moko(technical college) ginya mũmũrũmwe(university).,Kikuyu
"Ningĩ nĩ ĩĩtagwo ""ũrwaru wa gũtheka"" tondũ wa gũtheka kwa andũ arĩa marĩ na mũrimũ ũcio.",Kikuyu
'Akwaaba' nĩ kiugo gĩa rũthiomi rwa 'Twi' kĩrĩa kĩngĩtabutwo ta 'nĩndakũnyita ũgeni'[3],Kikuyu
Ibuku ria alawii ni gicunje gia gatatuBibiliainĩ.,Kikuyu
njũthĩrĩria na mathomo ma mĩgendere na mawĩki ma mũigĩ nĩ ĩguũrĩtie maũndũ ma bata harĩ ũtaũkĩri wa mbũgĩ cia kĩrĩndĩ.,Kikuyu
Gĩtweekĩarũũĩkana gaciĩ nĩ macirangaya kĩhuumo ya rũũĩ harĩa ĩhanyũkagĩra ĩkĩingĩra matiemainĩ ma hũngũrũrũ yayo.,Kikuyu
Mĩguongo nĩ magego marahũmĩrĩka magĩkũraga nginya nja ya kanua ka mĩthemba ĩmwe yaNyaműcia iria.,Kikuyu
ũyũ nĩ ũtitika wa ndereti kana igongona hatarĩ namawathokana mĩtugo mĩkaru ĩrĩa no mũhaka ĩrũmĩrĩrwo.,Kikuyu
Oqtoshcity irĩa nene yaUzbekistan.,Kikuyu
San Salvadorcity irĩa nene yaEl Salvador.,Kikuyu
"City ya Hohhot irĩ igũrũ mũno ta 1,065 m.",Kikuyu
Margilancity irĩa nene yaUzbekistan.,Kikuyu
"Ndamathia nyingĩ nĩirũmbũiyagia thogora wa indo cia mathomo, kaingĩ gatĩna-inĩ gaka ka kĩhũnda.",Kikuyu
"Kaingĩ nĩ ĩheagwo nĩguo mũrutwo ahotithie gũthiĩthukuru, kĩũratĩna kanaũcekĩmarĩrĩa angĩremwo nĩ gũthiĩ ũguo.",Kikuyu
Panamabũrũri waAmerika ya Kuthini.,Kikuyu
Magoti makoragwo mari maraya na moko maraihu kana makuhi na mahingagwo na nyororo kana ibungo iria iri mwena wa mbere.,Kikuyu
Igoti riri rithondeketwo na nyaironi na rigiragiria mundu kumana na mbura kana kuihuga.,Kikuyu
Dongyingcity irĩa nene yaChina.,Kikuyu
Mĩkawa mĩingĩ Bũrũri wa Kenya ĩrugaga mĩkando (mũno mandathi) hamwe na cai kana kahũa.,Kikuyu
City ya Tegucigalpa irĩ igũrũ mũno ta 990 m.,Kikuyu
No nao athomi makoiga atĩ o ihinda na maũndũ marĩo na atĩ kũringana na harĩa thĩ ĩkinyĩte ng’ano citingĩhota kũrũta ciana citũ mĩtugo mĩega.,Kikuyu
Hindi iyo nirio TV iria nene chiaregire kumemerekia ihinda ria thiku karundo makiregana na mibango iyo.,Kikuyu
Changzhoucity irĩa nene yaChina.,Kikuyu
Jackie Chan(ũrũĩa aciarirwo 7 April 1954) nĩ mũtheki thinema naMũthekaniakuumaChina.,Kikuyu
Oro hau magoti no makoro na ngubia ya guikira,Kikuyu
City ya Shangqiu irĩ igũrũ mũno ta 50 m.,Kikuyu
"Indo cia ndũyũ, ngari, mĩkawa, honge ciaNdamathia, na nyũmba cia ndini nĩ imwe cigomagĩragwo hĩndĩ ya nditimũrano.",Kikuyu
"Kiirikanaga ni kiri uteithio hari marungo, na no kihoorerie murimu wa marungo (arthritis).",Kikuyu
Nĩ aamenyekire mũno nĩ ũndũ wa kũruta mbica cia woma cia kũgegania iria irĩ na maũndũ ma gũkenia na ma gũthekania.,Kikuyu
City ya Xiantao irĩ igũrũ mũno ta 31 m.,Kikuyu
"Brasilia nĩ Cĩtĩ ya kiriu, kurure na kubangwo wega.",Kikuyu
Yozyovoncity irĩa nene yaUzbekistan.,Kikuyu
Bukharacity irĩa nene yaUzbekistan.,Kikuyu
Rĩu kũrĩ mwaka wa 2017 nowĩrorere ceceni nyingĩ mũno ũrĩ gũkũ bũrũri-inĩ.,Kikuyu
>>socrates nĩ arĩ na nderu ndaihu,Kikuyu
yaarĩUugewacacĩte hingo yaŨtetiwaUnited Kingdom (UK)kwĩthengia kuumaNdundu ya Rũraya (European Union),Kikuyu
Meihekoucity irĩa nene yaChina.,Kikuyu
Maywoodcity irĩa nene yaUSA(Illinois).,Kikuyu
Shoʻrchicity irĩa nene yaUzbekistan.,Kikuyu
Kenya nĩ mbogo nyingĩ cĩa githakaini no gűtiri cia műciĩ.,Kikuyu
Mũndũ ũrĩa angĩiyũkia indo ici etagwongĩũkanangĩa.,Kikuyu
Kűmenyekana kwa atomu ni kwahotithirie gűthondekwo gwa atomĩki thiori ĩria yatumĩrirwo gűthondeka  periodic table.,Kikuyu
City ya Hejin irĩ igũrũ mũno ta 396 m.,Kikuyu
Matuĩka ma Arabu nĩ mĩkũĩkũ ya ũregi-ndamathia ĩrĩa ya hurunjĩte mabũrũri ma Arabu mĩakainĩ ya mbere ya 2010.,Kikuyu
Sherobodcity irĩa nene yaUzbekistan.,Kikuyu
Laohekoucity irĩa nene yaChina.,Kikuyu
Mũciĩ mũnene wa Kongo nĩBrazzaville.,Kikuyu
Huanghuacity irĩa nene yaChina.,Kikuyu
Mwanga ũhandagwo karũhonge kana katingi.,Kikuyu
"Nĩ kũrĩ na mĩbebe mĩthemba ngũrani ta nyamũthaka, nyamũkũũ na  njerũ.",Kikuyu
Njĩra ĩmwe ĩrĩa yahũthĩragwo nĩ andũ agima kũrũta ciana ũria ciagĩrĩirwo nĩ gũkũra itariĩ yakoragwo ĩ kũmaganĩra ng’ano.,Kikuyu
"Mũromo wake, no ĩkunĩkwo na ngĩrwa ya thĩinĩ kana gĩkunĩko kĩa nja.",Kikuyu
"Cia mathako ni ceceni taSelect Sport, Blitz, Select Sport 2, SS9 East,SuperSport 9naKwese Free Sport.",Kikuyu
City ya Quvasoy irĩ igũrũ mũno ta 409 m.,Kikuyu
Mũciĩ mũnene wa Mbocinia na Hecengobina nĩSarajevo.,Kikuyu
Jizzaxcity irĩa nene yaUzbekistan.,Kikuyu
City ya Uychi irĩ igũrũ mũno ta 458 m.,Kikuyu
Samuel Sarpong – mwĩikari gĩtĩ waw kĩama kĩa National Democratic Congress (NDC),Kikuyu
ColombiaBururi wa Amerika ya Kuthini.,Kikuyu
kaingĩ ihandagwo thegi wa mũboco ikatheremania hamwe.,Kikuyu
Krakówcity irĩa nene yaPoland(Borandi).,Kikuyu
City ya Genhe irĩ igũrũ mũno ta 714 m.,Kikuyu
Kwĩ mbogo cia gĩthaka na cia műciĩ.,Kikuyu
Uychicity irĩa nene yaUzbekistan.,Kikuyu
Hanzhongcity irĩa nene yaChina.,Kikuyu
"Nĩahũtũkire na Ngoga Ndũgĩru, akĩramatwo na Herwig Waidbacher and Silke Drexler.",Kikuyu
nĩ ataragĩragia ũrĩa we na nyina magereire mooritũ arĩ mũnini amu nyina endagia njohi gananie ya cang'aa na ũndũ ũyũ nĩ wa maigaga na wagagu mũno.,Kikuyu
Tűyamű tűnini tűkoragwo na magűrű matadatű ta thigiriri na műthűa.,Kikuyu
City ya Nantong irĩ igũrũ mũno ta 2 m.,Kikuyu
Ceceni ici niihotithitie mũndũ o wothe wa rũrĩrĩ gũkorwo agikinyirwo ni maũndũ ona atekũmenya wega thiomi in5gi.,Kikuyu
"Ithima , mwako mũthiminde ũtarĩ kĩndũ nĩ ihumo imwe cia hũndũ nditũ.",Kikuyu
Ndagũrĩti nĩ indo iria itarĩ cia mwene iria igĩhoota kũgĩa mwene.,Kikuyu
"Kaingĩ nĩ ũkoragwo ũcũngĩrĩirio na maũndũ mega ũtũũro-inĩ, ta kũhingia mĩoroto, kũgĩa naandũende, kana kũhũthĩra mahinda na maũndũ mega.",Kikuyu
Ũndũ ũrĩa nĩ ngũrani na mĩimbo ĩngĩ ĩrĩa ĩtathegeaga.,Kikuyu
Njata kũrathũkaNjata irathũka na matũini ikoneka tarikugwa iragwa.,Kikuyu
"Arĩ na gatũ makĩria ta mũũmbi wa rũthiomi rwa Esperanto, rũthiomi rwa gwĩtungĩra rũrĩa rũhũthĩrĩtwo mũno thĩ yothe.",Kikuyu
"Kĩhĩrĩtũ nĩngerenwa, kaingĩ ya mbeca,  ĩheanagwo nĩ kĩama gĩa gĩthomo kana kĩama gĩa ndamathia kũrĩandũkana ikundi.",Kikuyu
ici nĩ ingituma wira uthuthuke ta watho wa thirikari.,Kikuyu
City ya Binzhou irĩ igũrũ mũno ta 20 m.,Kikuyu
Kaingĩ kĩandarũa kĩu gĩkoragwo na mĩramo mĩogothere ĩrĩa kaigĩ ĩrigitagwo na ũrugarĩ nĩgetha kũthaitĩra kĩũga kĩayo.,Kikuyu
Bururi waMbocinia na Hecengobina(Bosna i Hercegovina – Босна и Херцеговина) wĩ thiinĩ ya Rũraya ya mwena wa itherero.,Kikuyu
Nditimũrano nĩ ĩcũngarĩrĩriaga mwanangĩko wa indo cia mĩingĩ o hamwe na cia andũ kĩũmbe.,Kikuyu
ũyũ nĩ uuge wa nyitĩte thinga ngũĩ-inĩ cia githurano iria ciarũmĩrĩireGĩthurano kĩa 2007Kenya.,Kikuyu
karũhonge gaciaraga mĩanga ĩrĩ kana makĩria.,Kikuyu
Ituĩka rĩa mbere rĩa Akwaaba African Travel Market (AFTM) rĩekĩkire Lagos mwaka wa 2005.,Kikuyu
Hinesvillecity irĩa nene yaUSA.,Kikuyu
Mũthaki Xi nĩ acokaga kũhũndũra cuba ĩyo kũrĩ ũtũro wa kĩroho thutha wa kũrĩteyania 'mũthia-inĩ waThĩ',Kikuyu
"Na gĩkűyű no ĩtwo űthuthuria wa gűtűmira űhoti, iremethia, mieke na iguoyohia.",Kikuyu
Njekago  nĩ gĩcunjĩ kĩa thĩinĩ mũno kĩrĩ thithi waũtherikĩa kamuura kariithokanyaműciamũnyigiona mĩthemba ĩmwe ya ndinoho.,Kikuyu
Igoti ni muthemba wa nguo uria wikiragwo ni andu a muhiriga owothe mari athuri kana atumia.,Kikuyu
"Jones aakuire Colorado Juni 9, 2018, arĩ na mĩaka 39.",Kikuyu
Nĩ Bururi wĩ ũtonga muigi wa madini na Nĩgwo mĩthiu na mbere mũno Abirika yothe kĩ thayathi ucumi na tekinorojĩ.,Kikuyu
Quvasoycity irĩa nene yaUzbekistan.,Kikuyu
Ng’ano-inĩ nĩkuo gwakoragwo na motarii maũrĩa mũndũ agĩrĩirwo nĩgũikarania na aria angĩ.,Kikuyu
"Hĩndi ĩria Intel ya thondekire Cipiyu cia PI, PII, PIII, PIV na PV nĩ cia gĩre ngumo mũno.",Kikuyu
"City ya Pingliang irĩ igũrũ mũno ta 1,398 m.",Kikuyu
"Rũthiomi rwa Kĩlatgalia (latgalīšu volūda, Latvia:latgaliešu valoda)nĩ rũthiomi rwa Kĩbalta rwaragio kaingĩLatviaya Irathĩro.",Kikuyu
mabataro ma gathirimũndũ nĩ: kũũmba kĩndũ kĩerũ  na kũramata mĩtugo.,Kikuyu
"Nĩhakanĩte na mabururi ma:Botswana,Zimbabwe,MozabiquenaNamibia.",Kikuyu
Tathirikari kugiria kindu githondekwo,Kikuyu
City yaMaywoodirĩ igũrũ mũno ta 191 m.,Kikuyu
Kĩugo 'cuba' kĩumanĩte na ngerũra ya kiugo 'buca' kĩrĩa gĩkoragwo na nongorio ya 'kũgera handũ harateretha kana kũnyororoka mĩtũkĩ'.,Kikuyu
matereko ma njũranio cia ngũngũĩro nĩ irĩ nganya ya kĩnyi na ciiyũkagio na mwĩhoko nĩ amũnjarano ciumbũke iria ingĩrũnda marĩca macio matirĩri.,Kikuyu
"Gĩcagi gĩkĩ nĩ ĩmwe ya iria ciambĩrĩirie gũthondekwo Amerika, mbere nĩ ũndũ wa  Rũũĩ rwa Genesee na ngurumo ya tĩri mwega.",Kikuyu
"Thiku ici nowĩrorere mbica cioyetwo mbere nĩũndũ nĩ kũrĩ na indo cia kũiga mbica icio taDVD, flash drives, CDnavideo recorders.",Kikuyu
Bibilia ya Wycliffe nĩ yacomoririo mbere ya mwaka wa 1384.,Kikuyu
Ona kũrĩ ogwo kũũra kwa kĩũga gĩkĩ kĩaririmbũrauucũ na ndũikũrĩ mũtirike.,Kikuyu
Thĩ nĩ ya gĩthũrũrũko ta mũbira.,Kikuyu
"Arwaru a mũrimũ wa Kuru marĩ na kũhuka kwa ũthatharigi (gũtebeba) kuuma kũmoca kwa tombo, oho nĩ mainainaga mũno.",Kikuyu
Thinema ĩno nĩ ya rugũririo thĩinĩ wa National Museum yaNairobimweri wa kerĩ mwaka wa 2015.,Kikuyu
Ũndũ ũcio nĩ ũtũmaga andũ mone atĩ indo icio irĩ thutha wa gĩcicio kana (rĩmwe na rĩmwe) mbere yakio.,Kikuyu
Maundu maria biacara kana mundu ena ũhoti wa gwika wega,Kikuyu
Maciaro ma mũti ũyũ nĩ marĩ batathingithũ-inĩcia ũyahundi naũkiricitiano.,Kikuyu
Nyamungumi nĩ nyamũ ĩria ĩikaraga maaĩinĩ.,Kikuyu
Cenita ici itethagia kambuni na gwataniro kwĩhariria nĩgetha iga thegea mĩaka ĩgoka.,Kikuyu
2.Mũhathĩ (Spirostachys africana),Kikuyu
Andu a mabururi ma muhuro wa abirika metaga Johannesburg Jobegi.,Kikuyu
Nao andũ arĩa mena iheo mwanya mwanya ta arĩa mathondekaga gatuni magekĩra kio na makerutanĩria guthondeka mĩthako ĩra ingikenĩa ciana.,Kikuyu
Ngari mĩthemba mĩeruNgari cia thitima.,Kikuyu
Űũgi nĩta mũbũyũ Ngũtirĩ mũndũ ũgĩ ũhĩbĩria,Kikuyu
City ya Shijiazhuang irĩ igũrũ mũno ta 83 m.,Kikuyu
"Gĩkoinĩ mũro wa ngora(gĩtambaya), ũhũthagĩragwo gũkua mwana kuku kana mwambĩko  wamwĩrĩwa mũkuwi.",Kikuyu
"Maũndũ ta kũgĩa na ũcamba, kũmenyerera igweta, gũthikĩrĩria na gwĩkĩrĩra motaaro ma arĩa anene gũgũkĩra nĩ mamwe ma maũgi macio.",Kikuyu
"Undu uria warehire mogaruruku maingi muno Kenya, ni mibango ya thirikari ya kwira TV ciother ithamire digital.",Kikuyu
"(Kingeretha okay, oh!,M-hm, huh?",Kikuyu
Nĩgwo bũrũri ũria mũthiu na mbere mũno South America.,Kikuyu
Oqoltincity irĩa nene yaUzbekistan.,Kikuyu
Edward Kofi Omane Boamah – Mũthĩgĩ wa ũrangĩri,Kikuyu
Calciumnĩ Erementi ya Cuma ya gikundi kia cuma cia thĩ Alkalaini.,Kikuyu
City ya Chetumal irĩ igũrũ mũno ta 10 m.,Kikuyu
Nĩ ĩthiũrũrũkaga na mũlaini wa Iqweta.,Kikuyu
Terebiceni(kana 'runinga' na rũthiomi rwa Gĩthweri) ni mūtambo ũhũthĩkaga harī gūtūma ndūmīrīri cia mbica irathiī.,Kikuyu
Nĩ erutĩte na akagenera marũnga mothe ma tũrirũi twa kũrũa ta Wushu kana Kung fu na Hapkido.,Kikuyu
"Mabũrũri-inĩ maingĩ, indo iria ciendagio gatĩna gaka imemerekagio nyũmba cia mũhoro ona ndũnyũ-inĩ.",Kikuyu
Cĩtĩ nene ya Brazil ĩtagwoBrasilia.,Kikuyu
Jiaozhoucity irĩa nene yaChina.,Kikuyu
Nĩ harĩ 'ngũkũ ya njamba na mwera nĩ ngũkũ ya nga'.,Kikuyu
Ceceni irĩa nyingĩ ni cia andũ kĩũmbe.,Kikuyu
Mũhianĩre wa mũbira nĩ gĩtumbĩ.,Kikuyu
"Thegi ya mĩnyamario ĩno, Ray nĩekorire matiemano-inĩ ma ngũũĩ ya kĩndũire marĩa macacĩte gatagatĩ ka ma makundi ma Kĩarabu na ma Aborijini.",Kikuyu
"mwisho wa thĩ wa north witagũo north pũrũ, na mwisho wa south ũgetwo south pũrũ.",Kikuyu
Ceceni nyingi cia guku bururi-ini cinyitanĩirie maũndũ maya hamwe.,Kikuyu
ũiira nĩUugekana ũrirũ ũrĩa ũrekegio nĩ mwendekithia wamũrũgamo (proposition)mũna ena itanya rĩa kũonia ũrũngaru warĩo.,Kikuyu
"Nĩ eetagwo ""Mwarĩ-wa-Mũthamaki wa Afrika"", na kwa ihinda rĩa mĩaka 20, nĩ ahetwo ũrigithathi mũkũikũ-inĩ wa nyĩmbo cia Afrika ya Mũhuro.",Kikuyu
City ya Bukhara irĩ igũrũ mũno ta 225 m.,Kikuyu
Canganyinĩndorothiya kũnyugutwo na kũbĩrĩrĩka ĩthondeketwo kaingĩ na ngora ya mũnyore na ũraihu wa cientimeteri 20 nginya 25 na mũromo wa kũhurũka.,Kikuyu
Kwĩ hĩndĩ yeragwo ni ari rutere na m mũndũ kana meri ikinya rutereini ruu no kugwa na k ũu thĩ.,Kikuyu
Liaochengcity irĩa nene yaChina.,Kikuyu
mbũgĩ nĩ njokanĩrĩrio yothe ya meeciria na mathagumia ma tombo.,Kikuyu
Kĩandarũa nĩ ngora ya kũhumbĩra rungu wa nyũmba kanaThingira.,Kikuyu
Kaingĩ indo iria itarĩ mwene nĩ nyuranyura.,Kikuyu
Kuma hĩndĩ ya tene Mũgĩkũyũ nĩ arĩ na njĩra irĩa athomithagia mwana gũkorwo ena mĩtugo mĩega hĩndĩ ciothe.,Kikuyu
"Nĩ kũrĩ cia mahunjio taFamily TV, Hope TV, Sayare TV na Aviation TV.",Kikuyu
City ya Boston irĩ igũrũ mũno ta 43 m.,Kikuyu
"Famĩlĩ yake nĩ yaKikuyu, gĩkundi kĩa andũ aingĩ bũrũri-inĩ wa Kenya, na nĩ maatũũraga kũu kwa ihinda rĩa njiarwa nyingĩ.",Kikuyu
"Ciana cia thikũ ici maita maingĩ irekora igĩcaria kĩrĩra kuuma ihumo ingĩ ta thimũ, arata aa marika mao ona karabiceni-inĩ.",Kikuyu
Nĩ aanyitire ũhiki na President Ólafur Ragnar Grímsson mwaka wa 2000 na makĩhikania mũthenya wa gũciarũo kwa Grímssen mwaka wa 2003.,Kikuyu
